NS_code_from_gini,Nation_State,T_HDI_Mean_plus_5,T_HDI_Trend_plus_5,T_State_Fail_yr_1,T_State_Fail_plus_5,T_State_Fail_yr_5,year0,CWGI_Poli_Stabl_Mean_minus_4,CWGI_Poli_Stabl_Trend_minus_4,CWGI_RoL_Mean_minus_4,CWGI_RoL_Trend_minus_4,E_GINI_Mean_minus_4,E_GINI_Trend_minus_4,PCPI_std_Mean_minus_4,PCPI_std_Trend_minus_4,PWGI_Corrupt_Ctrl_Mean_minus_4,PWGI_Corrupt_Ctrl_Trend_minus_4,PWGI_Voice_Acct_Mean_minus_4,PWGI_Voice_Acct_Trend_minus_4
MWI,Malawi,0.4825,0.0024,0,,,2015,-0.0036733,0.055090236,-0.199421103,0.010776685,44.47204162,0.076020811,-0.470513732,0.023089881,-0.571325379,-0.088096969,-0.210321696,0.010858557
MYS,Malaysia,0.80275,0.0011,0,,,2015,0.119090179,0.044777595,0.538167135,0.019084863,41.08666667,-0.856666667,-0.659621369,-0.192030037,0.276418857,0.038121154,-0.379058512,-0.005408485
MDV,Maldives,0.71675,0.0021,0,,,2015,0.09056897,0.134190567,-0.56864465,-0.004439075,36.61372394,-0.335962819,-0.592496576,0.063647304,-0.464464345,-0.001655487,-0.385828122,-0.031091779
MLI,Mali,0.425,0.0022,1,1,,2015,-1.467433694,-0.075212565,-0.61455009,0.007143682,34.6937189,-0.481850168,-0.139160869,0.141115254,-0.689715025,-0.007308522,-0.182209448,0.000977433
MLT,Malta,0.8835,0.0014,0,,,2015,1.054236416,0.014622275,1.323251865,0.017535565,29.14,0.02,-0.060162945,-0.170193288,0.936457849,0.029046387,1.152619816,0.012713123
MRT,Mauritania,0.52425,0.0027,0,,,2015,-1.005133342,0.059907646,-0.920285214,-0.020274998,32.89405312,-0.739327356,0.133779556,0.242790929,-0.7738554,-0.082490533,-0.966652038,-0.009280833
MUS,Mauritius,0.79375,0.0021,0,,,2015,0.871380374,-0.052708688,0.923060014,-0.000924931,36.4476147,-0.990872594,0.355802246,0.009622975,0.458881331,-0.027490922,0.857524828,0.012757424
MEX,Mexico,0.76575,0.0011,1,1,,2015,-0.713242648,-0.013951168,-0.530927988,0.018538819,48.51,0.11,0.419319855,0.224969522,-0.488927149,-0.03704178,0.066071372,-0.007074697
MDA,Moldova,0.709,0.002,0,,,2015,-0.080030811,-0.042490142,-0.373968331,-0.00816657,28.42,-0.96,-0.46206777,0.039791452,-0.726452852,-0.063851792,-0.077801585,-0.034634091
MNG,Mongolia,0.73225,0.0021,0,,,2015,0.617275135,0.053290184,-0.368507468,-0.025200778,32.94975376,-0.53,0.310410099,0.218050186,-0.568964674,-0.003164565,0.070217763,0.023299722
MNE,Montenegro,0.8135,0.0024,0,,,2015,0.464636093,-0.033059374,0.043141123,0.041946526,31.904,0.224,-0.519707254,-0.114890549,-0.115621229,0.048501837,0.24543321,0.030352731
MAR,Morocco,0.674,0.0022,0,,,2015,-0.464114928,-0.031152889,-0.217464553,-0.007099935,38.50924969,-0.891163636,-0.321000091,-0.016111137,-0.401751028,-0.011778195,-0.733448631,-0.031918335
MOZ,Mozambique,0.44225,0.0037,0,,,2015,0.04625583,-0.08296709,-0.689130797,-0.029336919,50.56586418,0.839618839,-0.479632172,-0.007483807,-0.605661823,-0.038724764,-0.205518659,0.011133384
NAM,Namibia,0.643,0.002,0,,,2015,0.879533038,-0.004739913,0.198071769,-0.007448094,59.50933333,-0.204722709,-0.57681325,-0.19890929,0.254363864,-0.031431325,0.412314101,0.03134938
NPL,Nepal,0.576,0.0026,0,,,2015,-1.268435572,0.005495437,-0.835933056,-0.000269493,35.87238613,0.701419099,-0.769787854,0.059127087,-0.720865479,0.013676872,-0.581811615,-0.025772237
